groups,yf_ticker,name,min_wgt,neut_wgt,max_wgt
Health Care,VRTX,Vertex Pharmaceuticals Incorporated,0,0.125356,0.250712
Energy,SLB,Schlumberger NV,0,0.124518,0.249036
Information Technology,SNPS,Synopsys Inc.,0,0.123541,0.247082
Health Care,A,Agilent Technologies Inc.,0,0.122998,0.245996
Materials,NEM,Newmont Corporation,0,0.122633,0.245266
Industrials,CARR,Carrier Global Corp.,0,0.122184,0.244368
Real Estate,SPG,Simon Property Group Inc.,0,0.121622,0.243244
Information Technology,APH,Amphenol Corporation Class A,0,0.121448,0.242896
Information Technology,GPN,Global Payments Inc.,0,0.120926,0.241852
Consumer Discretionary,APTV,Aptiv PLC,0,0.120228,0.240456
Financials,BK,Bank of New York Mellon Corporation,0,0.119334,0.238668
Consumer Staples,KMB,Kimberly-Clark Corporation,0,0.119244,0.238488
Financials,TROW,T. Rowe Price Group,0,0.119008,0.238016
Materials,DOW,Dow Inc.,0,0.116366,0.232732
Information Technology,CDNS,Cadence Design Systems Inc.,0,0.115668,0.231336
Communication Services,MTCH,Match Group Inc.,0,0.115444,0.230888
Energy,PXD,Pioneer Natural Resources Company,0,0.115266,0.230532
Health Care,ALGN,Align Technology Inc.,0,0.115096,0.230192
Consumer Discretionary,ORLY,O'Reilly Automotive Inc.,0,0.114506,0.229012
Energy,MPC,Marathon Petroleum Corporation,0,0.113041,0.226082
Information Technology,FTNT,Fortinet Inc.,0,0.112991,0.225982
Health Care,BIIB,Biogen Inc.,0,0.112914,0.225828
Financials,PRU,Prudential Financial Inc.,0,0.112797,0.225594
Consumer Discretionary,MAR,Marriott International Inc. Class A,0,0.112786,0.225572
Real Estate,DLR,Digital Realty Trust Inc.,0,0.111972,0.223944
Consumer Staples,SYY,Sysco Corporation,0,0.111748,0.223496
Utilities,AEP,American Electric Power Company Inc.,0,0.111732,0.223464
Industrials,TT,Trane Technologies plc,0,0.110493,0.220986
Information Technology,MSI,Motorola Solutions Inc.,0,0.110256,0.220512
Information Technology,XLNX,Xilinx Inc.,0,0.109066,0.218132
Information Technology,CTSH,Cognizant Technology Solutions Corporation Class A,0,0.108132,0.216264
Utilities,SRE,Sempra Energy,0,0.108043,0.216086
Financials,SIVB,SVB Financial Group,0,0.106592,0.213184
Health Care,BAX,Baxter International Inc.,0,0.106086,0.212172
Information Technology,MCHP,Microchip Technology Incorporated,0,0.105522,0.211044
Consumer Discretionary,HLT,Hilton Worldwide Holdings Inc,0,0.104797,0.209594
Financials,TRV,Travelers Companies Inc.,0,0.103831,0.207662
Consumer Discretionary,ROST,Ross Stores Inc.,0,0.102585,0.20517
Communication Services,EA,Electronic Arts Inc.,0,0.102576,0.205152
Information Technology,PAYX,Paychex Inc.,0,0.10102,0.20204
Industrials,PH,Parker-Hannifin Corporation,0,0.100953,0.201906
Financials,DFS,Discover Financial Services,0,0.100872,0.201744
Consumer Staples,GIS,General Mills Inc.,0,0.100417,0.200834
Materials,PPG,PPG Industries Inc.,0,0.10018,0.20036
Materials,DD,DuPont de Nemours Inc.,0,0.099637,0.199274
Financials,ALL,Allstate Corporation,0,0.09959,0.19918
Financials,FRC,First Republic Bank,0,0.098501,0.197002
Consumer Staples,STZ,Constellation Brands Inc. Class A,0,0.098489,0.196978
Health Care,RMD,ResMed Inc.,0,0.098431,0.196862
Consumer Discretionary,AZO,AutoZone Inc.,0,0.098274,0.196548
Consumer Discretionary,YUM,Yum! Brands Inc.,0,0.098197,0.196394
Materials,IFF,International Flavors & Fragrances Inc.,0,0.098133,0.196266
